frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,areoid,radius,sclk,sol
ROVER,27,46,-1,340.294,-2768.153,-43.059,1093639.989,4351725.933,18.450368106,18.346169209,77.401650187,-2526.851,4040.05,2583.73,1010.01,645.93,5.386,8.557,-90.928,0.696132660,0.085979130,0.018869244,-0.712496200,3394505.805,3391978.954,716307408,556
ROVER,27,70,-1,340.366,-2768.010,-43.046,1093640.061,4351726.076,18.450369320,18.346169209,77.401652730,-2526.864,4039.76,2584.31,1009.94,646.08,7.674,-5.663,1.924,0.996344500,0.067652985,-0.048158072,0.020036465,3394505.805,3391978.941,716307546,556
ROVER,27,76,-1,348.235,-2767.553,-42.563,1093647.930,4351726.533,18.450502078,18.346169209,77.401660849,-2527.347,4008.28,2586.13,1002.07,646.53,5.366,0.835,3.760,0.998351000,0.046543453,0.008805999,0.032426454,3394505.785,3391978.437,716307790,556
ROVER,27,88,-1,354.127,-2767.215,-42.298,1093653.822,4351726.871,18.450601477,18.346169209,77.401666867,-2527.612,3984.71,2587.48,996.18,646.87,7.460,-1.347,-8.437,0.995165765,0.064013705,-0.016481586,-0.072633944,3394505.772,3391978.160,716307948,556
ROVER,27,94,-1,354.127,-2767.215,-42.298,1093653.822,4351726.871,18.450601478,18.346169209,77.401666863,-2527.612,3984.71,2587.48,996.18,646.87,7.643,-0.361,-15.943,0.988159700,0.065565914,-0.012356903,-0.138162000,3394505.772,3391978.160,716308004,556
ROVER,27,98,-1,354.102,-2767.205,-42.292,1093653.797,4351726.881,18.450601069,18.346169209,77.401667037,-2527.618,3984.81,2587.52,996.20,646.88,7.595,-0.650,-15.563,0.988651276,0.064854451,-0.014575938,-0.134722263,3394505.772,3391978.155,716308019,556
ROVER,27,104,-1,355.061,-2767.449,-42.277,1093654.756,4351726.637,18.450617242,18.346169209,77.401662708,-2527.633,3980.98,2586.55,995.24,646.64,7.297,-0.707,-15.061,0.989398718,0.062278781,-0.014442005,-0.130395427,3394505.772,3391978.140,716308076,556
ROVER,27,110,-1,355.306,-2767.505,-42.280,1093655.001,4351726.581,18.450621367,18.346169209,77.401661703,-2527.630,3980.00,2586.32,995.00,646.58,7.549,-0.205,-14.928,0.989389479,0.065036803,-0.010320817,-0.129507482,3394505.772,3391978.142,716308116,556
ROVER,27,116,-1,355.294,-2767.473,-42.266,1093654.989,4351726.613,18.450621170,18.346169209,77.401662269,-2527.644,3980.04,2586.45,995.01,646.61,6.132,-3.410,5.203,0.997025430,0.054758284,-0.027256140,0.046892565,3394505.772,3391978.128,716308199,556
ROVER,27,128,-1,363.001,-2766.439,-42.169,1093662.696,4351727.647,18.450751195,18.346169209,77.401680666,-2527.741,3949.22,2590.59,987.30,647.65,5.458,4.721,-0.506,0.998000026,0.047749467,0.040932138,-0.006364828,3394505.753,3391978.011,716308447,556
